,ID,Time,Snip,Head.l
89,9,2020-04-01T10:55:06+0000,"Jaejoong of JYJ told his fans he had the virus, then admitted he had made up the diagnosis. His devastated fans were unamused.","It’s April Fools’ Day, So a K-Pop Star Pulled a Coronavirus Prank"
90,10,2020-03-28T17:30:15+0000,"Technical flaws, regulatory hurdles and failures of leadership impeded early screening in the United States, allowing the pandemic to spread.",The U.S.’s Slow Start to Coronavirus Testing: A Timeline
91,1,2020-03-28T17:30:15+0000,"Technical flaws, regulatory hurdles and failures of leadership impeded early screening in the United States, allowing the pandemic to spread.",The U.S.’s Slow Start to Coronavirus Testing: A Timeline
92,2,2020-04-03T09:00:09+0000,Tracking coronavirus growth rates in metro areas around the nation.,How Severe Are Coronavirus Outbreaks Across the U.S.? Look Up Any Metro Area
93,3,2020-03-26T22:37:41+0000,"The opposite is more likely to be true, according to research and experts.",Trump’s Baseless Claim That a Recession Would Be Deadlier Than the Coronavirus
94,4,2020-03-25T21:05:40+0000,"The government has recruited more than 400,000 people to care for senior citizens who have been told to stay at home for 12 weeks.",Britain Enlists an Army of Volunteers to Help Fight the Coronavirus
95,5,2020-03-28T13:16:17+0000,"A tight social circle bound by New York City basketball is hit hard by Covid-19, with three dead and others ailing.",They Celebrated Basketball and a Birthday. Then Came Coronavirus.
96,6,2020-03-26T15:21:18+0000,The infection rate within the American military has shot up to a degree some officials find alarming.,U.S. Army Halts Training Over Coronavirus but Then Changes Its Mind
97,7,2020-03-31T23:09:58+0000,The C.D.C. director says new data about people who are infected but symptom-free could lead the agency to recommend broadened use of masks.,Infected but Feeling Fine: The Unwitting Coronavirus Spreaders
98,8,2020-03-26T03:34:40+0000,"As restaurants around the world close or retool to enforce social distancing, Hong Kong’s hot pot eateries offer a cautionary tale and some good advice.",When Your Restaurant’s Star Dish Is Blamed for Spreading Coronavirus
99,9,2020-03-27T18:10:31+0000,"The original enforcement date was set for Oct. 1, 2020, but the federal, state and local response to the pandemic warranted a delay, according to the Department of Homeland Security.",Real ID Deadline Delayed Until Late 2021 Because of Coronavirus
100,10,2020-03-26T14:58:36+0000,"North Korean ships distance themselves from Chinese ships and territory, bringing the country’s revenue stream from illicit exports of coal and other commodities to a sudden halt.","Coronavirus Is Idling North Korea’s Ships, Achieving What Sanctions Did Not"
101,1,2020-03-30T17:18:00+0000,"Women are reconsidering their options for delivering babies, but there are not enough midwives to meet their needs.",Should You Have a Home Birth Because of Coronavirus?
102,2,2020-03-24T01:39:04+0000,"After a federal warning, companies have stopped marketing kits that let consumers collect their own saliva or throat swabs and send them to labs.",Start-Ups Jump the Gun on Home Kits for Coronavirus Testing
103,3,2020-03-31T17:03:43+0000,"As closures give way to a deluge of live streams, performances have never been more accessible.",The Coronavirus Hasn’t Slowed Classical Music
104,4,2020-03-24T21:51:55+0000,"A day of confusion and contradictory images as Britons struggled to adapt to the new rules, and sometimes just understand them.",Britain Locks Down to Stem the Coronavirus. More or Less.
105,5,2020-03-26T08:17:32+0000,"While Pakistan’s government and military are at odds over how to respond, doctors are protesting to get equipment and more testing, and clerics are refusing to limit mosque gatherings.",‘God Will Protect Us’: Coronavirus Spreads Through an Already Struggling Pakistan
106,6,2020-03-23T03:16:04+0000,"Two dozen of the medicines are already under investigation. Also on the list: chloroquine, a drug used to treat malaria.",Scientists Identify 69 Drugs to Test Against the Coronavirus
107,7,2020-03-25T09:00:13+0000,"For too long, mothers have been held responsible for every aspect of their children’s well-being.",How Coronavirus Exposes the Great Lie of Modern Motherhood
108,8,2020-03-25T11:32:45+0000,"India’s 1.3 billion people have been told to stay at home. For some, it will mean starving. And an already fragile economy may collapse.","India, Day 1: World’s Largest Coronavirus Lockdown Begins"
109,9,2020-03-31T17:14:34+0000,"The CNN anchor, 49, is “feeling well” and will continue hosting his prime-time show from home, where he is quarantined.","CNN’s Chris Cuomo, Brother of Governor, Tests Positive for Coronavirus"
110,10,2020-04-01T21:16:45+0000,"The Treasury reversed guidance that would have required millions of Social Security recipients to file returns, but many other low-income people will have to submit them.",Needy Will Face Hurdles to Getting Coronavirus Stimulus
111,1,2020-03-24T22:50:46+0000,"There’s a possibility chimpanzees could be susceptible to Covid-19, so sanctuaries are taking precautions.",Chimp Sanctuaries Restrict Visits Over Concerns About the Coronavirus
112,2,2020-04-03T18:52:14+0000,Officials are <U+200B>trying to curb expressions of grief and control the narrative<U+200B> amid doubts about the official number of deaths in China.,China Pushes for Quiet Burials as Coronavirus Death Toll Is Questioned
113,3,2020-03-25T09:00:24+0000,"Officials are trying to determine the military’s role in safeguarding the United States from a new enemy within its borders, even as commanders fear infection across the ranks.","Pentagon Takes Restrained Role in Coronavirus Response, Despite Calls for Help"
114,4,2020-03-30T21:26:41+0000,"Stat, started in 2015 by the Red Sox owner John Henry, is drawing four to five times its normal audience. “We were built for this,” one of its editors said.",The Medical News Site That Saw the Coronavirus Coming Months Ago
115,5,2020-03-20T09:00:10+0000,I tested positive. I’m locked in the bedroom and can’t help take care of my children.,Parenting by FaceTime in Coronavirus Quarantine
116,6,2020-03-23T20:00:09+0000,The orchestra is anticipating a loss of $10 million and said its endowment had declined by about 14 percent.,New York Philharmonic Cancels Season Because of Coronavirus
117,7,2020-04-02T18:08:55+0000,"The leader of the U.N. has called the pandemic the biggest international threat in the 75-year history of the organization, but its most powerful body has yet to take action.",U.N. Security Council ‘Missing In Action’ in Coronavirus Fight
118,8,2020-03-25T22:10:26+0000,"Kosovo’s prime minister lost a no-confidence vote on Wednesday, partly because of disputes over how to respond to the pandemic. Critics say American diplomacy also played a role.","Coronavirus Helps Bring Down Kosovo’s Government, With Nudge From U.S."
119,9,2020-04-01T21:14:23+0000,"Doctors have observed neurological symptoms, including confusion, stroke and seizures, in a small subset of Covid-19 patients.",Some Coronavirus Patients Show Signs of Brain Ailments
120,10,2020-03-30T14:45:16+0000,"Alicia Keys, Mariah Carey, Billie Eilish, Camila Cabello and Sam Smith performed remotely to raise money for organizations helping with Covid-19 relief.","With Stars at Home, a Coronavirus Pop Benefit Scales Down"
121,1,2020-04-02T18:40:30+0000,"As companies nationwide look for relief, the Trump Organization has talked with Deutsche Bank and a Florida county about delaying payments on some loans and other obligations.",Trump’s Company Seeks to Ease Financial Crunch as Coronavirus Takes Toll
122,2,2020-03-29T23:03:17+0000,"Officials in Washington State worry that their gains are precarious, but they see evidence that containment strategies have lowered the rate of virus transmission.",Coronavirus Slowdown in Seattle Suggests Restrictions Are Working
123,3,2020-03-31T19:01:14+0000,"Public health officials have been pushing airlines for years to gather more traveler data, but airlines have balked, citing cost and time.",Airlines Refused to Collect Passenger Data That Could Aid Coronavirus Fight
124,4,2020-03-31T00:16:39+0000,The two companies are the latest targets of labor action by groups fearing virus exposure on the job.,Strikes at Instacart and Amazon Over Coronavirus Health Concerns
125,5,2020-03-24T13:49:51+0000,"As my son’s temperature spiked, so did my anxiety.",The Agonizing Wait for My 4-Year-Old’s Coronavirus Test Results
126,6,2020-03-26T10:13:53+0000,"The $2 trillion relief package is sending money directly to Americans, greatly expanding unemployment coverage and making a number of other changes.","F.A.Q. on Stimulus Checks, Unemployment and the Coronavirus Plan"
127,7,2020-03-28T12:02:10+0000,Insurgents launched major assaults as preparations continued for a prisoner exchange and as diplomats worked to revive the peace plan.,Taliban Attack Afghanistan Amid Growing Coronavirus Threat
128,8,2020-04-03T23:33:05+0000,"“It is hard to put fully into words what we are all grappling with as we navigate our way through this pandemic,” a hospital official said.","Coronavirus in N.Y.: Toll Soars to Nearly 3,000 as State Pleads for Aid"
129,9,2020-03-29T19:00:06+0000,"The decision by the school’s president, Jerry Falwell Jr., to partly reopen his evangelical university enraged residents of Lynchburg, Va. Then students started getting sick.","Liberty University Brings Back Its Students, and Coronavirus Fears, Too"
130,10,2020-03-25T18:14:06+0000,The administration is pushing ahead with efforts to roll back environmental protections and impose new limits on how science can be used for making rules.,Coronavirus Doesn’t Slow Trump’s Regulatory Rollbacks
131,1,2020-03-31T07:17:30+0000,"Decades of isolation and international sanctions have ravaged North Korea’s public health system, raising fears about its ability to confront an outbreak.",North Korea Claims No Coronavirus Cases. Can It Be Trusted?
132,2,2020-03-30T22:49:34+0000,"Collectors of biological samples can’t do their work in the expanding global lockdown, making it difficult to carry out effective antidoping programs.",Coronavirus Pandemic Hobbles World Antidoping Efforts
133,3,2020-04-03T09:00:31+0000,"Officials often use similar words when describing the pandemic, but they are not always talking about the same thing, making global comparisons less useful.","Peaks, Testing, Lockdowns: How Coronavirus Vocabulary Causes Confusion"
134,4,2020-04-02T20:18:21+0000,President Trump’s son-in-law has become a central player in the administration’s effort to curb the pandemic. But critics say he is part of the problem.,Kushner Puts Himself in Middle of White House’s Chaotic Coronavirus Response
135,5,2020-04-01T07:00:11+0000,"Traders scour factories and warehouses, find planes and pilots and look for buyers as hospitals and governments beg for protective gear.",Coronavirus Battle Creates a Global ‘Free-for-All’ to Find Masks
136,6,2020-04-01T06:52:26+0000,"Expatriates, especially in New York, have abandoned the lives they built over fear of the inequalities in the American health care system.",They Made New Lives in the U.S. The Coronavirus Sent Them Fleeing.
137,7,2020-03-30T21:59:40+0000,"A mourner came to Albany, Ga., to attend the funeral of a retired janitor. After a pause while the infections incubated, the virus swept through the community.","Days After a Funeral in a Georgia Town, Coronavirus ‘Hit Like a Bomb’"
138,8,2020-03-28T08:13:36+0000,The country has drawn global attention with an unorthodox approach while its neighbors have imposed extensive restrictions.,"In the Coronavirus Fight in Scandinavia, Sweden Stands Apart"
139,9,2020-03-30T15:58:31+0000,The Russian leader hates to deliver bad news and wants to distinguish his rule from the turbulent presidency of Boris N. Yeltsin. So he is leaving it to his minions to announce harsh measures.,"As Russia Braces for Coronavirus, Putin Lets Underlings Take the Heat"
140,10,2020-03-25T21:02:24+0000,Congress’s emergency coronavirus bill would provide colleges and universities with about $14 billion to weather shutdowns and move to distance learning. That is unlikely to be enough.,"Colleges Get Billions in Coronavirus Relief, but Say Deal Falls Short of Needs"
141,1,2020-03-31T23:36:02+0000,The mayor of Holyoke in Massachusetts confronted the superintendent of the Holyoke Soldiers’ Home after hearing rumors that infections were spreading.,"Coronavirus Spreads in Veterans’ Home, Leaving ‘Shuddering Loss for Us All’"
142,2,2020-03-25T21:53:40+0000,"It’s likely you can, at least for some period of time. That is opening new opportunities for testing and treatment.",Can You Become Immune to the Coronavirus?
143,3,2020-03-19T14:58:46+0000,"The ways the pandemic has already reshaped the year, and what might happen in pop next.",How Will Pop Music Respond to the Coronavirus?
144,4,2020-03-30T13:20:50+0000,Leaders around the world have passed emergency decrees and legislation expanding their reach during the pandemic. Will they ever relinquish them?,"For Autocrats, and Others, Coronavirus Is a Chance to Grab Even More Power"
145,5,2020-03-31T16:51:08+0000,The emergency legislation enacted by Congress with support from Republicans and President Trump has intensified a long-running debate about whether the United States does enough in ordinary times to protect the needy.,The Safety Net Got a Quick Patch. What Happens After the Coronavirus?
146,6,2020-03-31T19:11:51+0000,"The Defense Production Act has been invoked hundreds of thousands of times in the Trump years. But with the pandemic, the president sees it as a “break the glass” last resort.","Wartime Production Law Has Been Used Routinely, but Not With Coronavirus"
147,7,2020-03-30T22:10:51+0000,A database of daily fever readings shows that the numbers declined as people disappeared indoors.,"Restrictions Are Slowing Coronavirus Infections, New Data Suggest"
148,8,2020-03-24T13:12:35+0000,"The province will let people outside Wuhan leave for the first time since late January. Despite the official sign of confidence, many fear the virus is still spreading silently.",China to Ease Coronavirus Lockdown on Hubei 2 Months After Imposing It
149,9,2020-03-24T12:07:53+0000,"In Ireland, wakes and funerals typically involve entire communities. But social distancing is changing how those rituals play out.","A Good Death Is a Rite of Irish Life. Amid Coronavirus, That Looks Different."
150,10,2020-03-27T20:25:10+0000,Factories sprang up or retooled to make equipment. But complaints in Spain over Chinese-made tests highlight the difficulties of regulating quality.,"China Pushes to Churn Out Coronavirus Gear, Yet Struggles to Police It"
151,1,2020-03-31T15:22:48+0000,"The health crisis, which has become a fresh test of survival for a country where life has been a daily fight for decades, has provoked a shared sense of responsibility and spontaneous acts of generosity.","Waiving Rent and Making Masks, Afghans Meet Coronavirus With Kindness"
152,2,2020-03-31T11:25:00+0000,We’ve tried all sorts of things to stop us from staring at our devices. Digital detoxes. Abstinence. Now? Bring on the Zoom cocktail hour.,Coronavirus Ended the Screen-Time Debate. Screens Won.
153,3,2020-03-30T10:00:07+0000,"With grants and marketing spending, the social media giant hopes to support outlets doing essential local reporting but struggling with a drop in advertising.",Facebook Aims $100 Million at Media Hit by the Coronavirus
154,4,2020-03-28T15:17:54+0000,How the ruling Communist Party manages the coming months will help shape how hundreds of millions of young people see its authoritarian political bargain for decades to come.,Coronavirus Crisis Awakens a Sleeping Giant: China’s Youth
155,5,2020-04-02T07:00:08+0000,The pandemic has handed the funds big losses after they ramped up their appetite for risk over the past decade.,Coronavirus Is Making the Public Pension Crisis Even Worse
156,6,2020-03-23T11:55:39+0000,"The president, who has watched the economy plunge amid social distancing measures, says restrictions will be reassessed.",Trump Says Coronavirus Cure Cannot ‘Be Worse Than the Problem Itself’
157,7,2020-03-25T13:59:30+0000,The makers of unauthorized kits designed for consumers to collect their own saliva or throat swabs faced scrutiny from Congress.,Lawmakers Question Start-Ups on At-Home Kits for Coronavirus Testing
